State/UT,District,Population,Male,Female,Literate,Literate_Male,Literate_Female,Households_Rural,Urban_Households,Households,Young_and_Adult,Middle_Aged,Senior_Citizen,Age_Not_Stated
PUNJAB,Jalandhar,2193590.0,1145211.0,1048379.0,0,882581.0,739956.0,330339.0,377791.0,0,1159156.0,616431.0,416449.0,1554.0
PUNJAB,Hoshiarpur,1586625.0,809057.0,777568.0,0,637927.0,561772.0,422673.0,128592.0,0,831741.0,422782.0,,1431.0
PUNJAB,Shahid Bhagat Singh Nagar,612310.0,313291.0,,0,239155.0,199304.0,183168.0,48383.0,0,318597.0,163305.0,128310.0,2098.0
PUNJAB,Fatehgarh Sahib,600163.0,320795.0,279368.0,0,238696.0,187337.0,117559.0,57337.0,0,321018.0,166781.0,111028.0,1336.0
PUNJAB,Ludhiana,3498739.0,1867816.0,1630923.0,0,1428348.0,1131877.0,395032.0,641789.0,0,1901528.0,980046.0,614258.0,2907.0
PUNJAB,Moga,995746.0,525920.0,469826.0,0,,279340.0,214295.0,74144.0,0,535408.0,258826.0,,6744.0
PUNJAB,Firozpur,2029074.0,1071637.0,957437.0,0,,520441.0,348522.0,153868.0,0,1171770.0,525459.0,331259.0,586.0
PUNJAB,Muktsar,901896.0,475622.0,426274.0,0,,224447.0,149507.0,74650.0,0,495167.0,242628.0,162297.0,1804.0
PUNJAB,Faridkot,617508.0,326671.0,290837.0,0,215767.0,165518.0,99946.0,58917.0,0,336540.0,164962.0,113721.0,2285.0
PUNJAB,Bathinda,1388525.0,743197.0,645328.0,0,488261.0,356607.0,218159.0,137563.0,0,754927.0,,255283.0,608.0
PUNJAB,Mansa,769751.0,408732.0,361019.0,0,244037.0,179523.0,145603.0,50786.0,0,420050.0,200882.0,146103.0,2716.0
PUNJAB,Patiala,1895686.0,1002522.0,893164.0,0,711052.0,555739.0,299279.0,218090.0,0,1042519.0,517079.0,335100.0,988.0
PUNJAB,Amritsar,2490656.0,1318408.0,1172248.0,0,932981.0,751789.0,275477.0,385476.0,0,,667193.0,436496.0,1980.0
PUNJAB,Tarn Taran,1119627.0,589369.0,530258.0,0,376427.0,289735.0,222717.0,44457.0,0,641875.0,283645.0,190898.0,3209.0
PUNJAB,Rupnagar,684627.0,357485.0,327142.0,0,278534.0,224197.0,148162.0,60537.0,0,365300.0,,131707.0,2196.0
